Mass,Gamma,Angle,Velocity,class
0.10,0.10,45.00,1.40,1.0
0.10,0.10,45.00,1.30,1.0
0.10,0.10,45.00,1.20,2.0
0.10,0.10,45.00,1.15,2.0
0.10,0.10,45.00,1.10,2.0
0.10,0.10,45.00,1.05,2.0
0.10,0.10,45.00,1.00,2.0
0.10,0.10,37.50,4.00,4.0
0.10,0.10,37.50,3.50,4.0
0.10,0.10,37.50,3.00,4.0
0.10,0.10,37.50,2.50,4.0
0.10,0.10,37.50,2.00,4.0
0.10,0.10,37.50,1.60,4.0
0.10,0.10,37.50,1.50,4.0
0.10,0.10,37.50,1.40,4.0
0.10,0.10,37.50,1.30,3.0
0.10,0.10,37.50,1.20,3.0
0.10,0.10,37.50,1.10,3.0
0.10,0.10,37.50,1.00,3.0
0.10,0.10,30.00,4.00,4.0
0.10,0.10,30.00,3.50,4.0
0.10,0.10,30.00,3.00,4.0
0.10,0.10,30.00,2.50,4.0
0.10,0.10,30.00,2.00,4.0
0.10,0.10,30.00,1.60,3.0
0.10,0.10,30.00,1.50,3.0
0.10,0.10,30.00,1.40,3.0
0.10,0.10,30.00,1.20,3.0
0.10,0.10,30.00,1.00,3.0
0.10,0.10,22.50,4.00,4.0
0.10,0.10,22.50,3.50,1.0
0.10,0.10,22.50,3.00,1.0
0.10,0.10,22.50,2.50,2.0
0.10,0.10,22.50,2.00,2.0
0.10,0.10,22.50,1.80,3.0
0.10,0.10,22.50,1.70,3.0
0.10,0.10,22.50,1.60,3.0
0.10,0.10,22.50,1.40,3.0
0.10,0.10,22.50,1.00,3.0
0.10,0.10,15.00,4.00,4.0
0.10,0.10,15.00,3.50,4.0
0.10,0.10,15.00,3.00,3.0
0.10,0.10,15.00,2.50,3.0
0.10,0.10,15.00,2.00,3.0
0.10,0.10,15.00,1.70,3.0
0.10,0.10,15.00,1.40,3.0
0.10,0.10,15.00,1.00,3.0
0.10,0.10,0.10,3.50,3.0
0.10,0.10,0.10,3.00,3.0
0.10,0.10,0.10,2.50,3.0
0.10,0.10,0.10,2.00,3.0
0.10,0.10,0.10,1.70,3.0
0.10,0.10,0.10,1.40,3.0
0.10,0.10,0.10,1.00,3.0
